temperature,humidity,gas,vibration,current
26.80,43.80,867,0,0.04
26.80,43.80,870,0,0.03
26.80,43.80,864,0,0.13
26.80,43.70,873,0,0.00
26.80,43.80,854,0,0.00
26.80,43.70,861,0,0.04
26.80,43.70,871,0,0.00
26.80,43.70,869,0,0.00
26.80,43.70,866,0,0.09
26.80,43.70,867,0,0.00
26.80,43.70,862,0,0.11
26.80,43.70,863,0,0.00
26.80,43.70,866,0,0.00
26.80,43.70,866,0,0.04
26.80,43.70,865,0,0.00
26.80,43.70,880,0,0.05
26.70,43.70,853,0,0.00
26.70,43.70,864,0,0.11
26.70,43.70,866,0,0.00
26.70,43.70,869,0,0.09
26.70,43.70,871,0,0.20
26.70,43.70,880,0,0.00
26.70,43.70,851,0,0.00
26.70,43.70,863,0,0.00
26.70,43.70,866,0,0.11
26.80,43.70,866,0,0.00
26.70,43.70,861,0,0.00
26.70,43.70,863,0,0.00
26.70,43.70,857,0,0.25
26.70,43.70,866,0,0.12
26.70,43.70,870,0,0.01
26.70,43.70,866,0,0.00
26.70,43.70,857,0,0.00
26.70,43.70,858,0,0.06
26.70,43.70,873,0,0.08
26.80,43.70,855,0,0.00
26.70,43.70,879,1,0.00
26.70,43.70,868,0,0.15
25.20,43.00,886,0,0.00
25.20,43.00,865,0,0.22
25.20,42.90,871,0,0.00
25.30,43.10,854,0,0.00
25.30,43.30,884,0,0.19
25.30,43.30,881,0,0.00
25.30,43.30,866,0,0.09
25.30,43.20,901,0,0.20
25.30,43.10,891,0,0.01
25.30,43.10,855,0,0.00
25.30,43.00,857,0,0.00
25.40,42.90,874,0,0.00
25.40,42.80,893,0,0.11
25.40,42.70,886,0,0.20
25.40,42.60,865,0,0.26
25.40,42.50,859,0,0.00
25.40,42.50,871,0,0.02
25.40,42.40,869,0,0.00
25.40,42.40,869,0,0.00
25.40,42.40,857,0,0.00
25.40,42.40,881,0,0.04
25.40,42.30,857,0,0.00
25.40,42.30,887,0,0.18
25.40,42.30,893,0,0.00
25.40,42.30,888,0,0.49
25.40,42.30,891,0,0.07
25.40,42.30,861,0,0.00
25.40,42.30,861,0,0.08
25.40,42.30,855,0,0.11
25.40,42.30,891,0,0.09
25.40,42.30,865,0,0.00
25.40,42.30,857,0,0.09
25.40,42.20,879,0,0.09
25.50,42.20,851,0,0.00
25.40,42.20,880,0,0.00
25.40,42.10,869,0,0.06
25.40,42.10,873,0,0.35
25.40,42.00,863,0,0.06
25.40,42.00,875,0,0.10
25.40,42.00,865,0,0.17
25.40,42.00,879,0,0.11
25.40,42.00,865,0,0.20
25.40,42.00,878,0,0.07
25.40,42.00,873,0,0.04
25.40,42.00,866,0,0.01
25.40,42.10,882,0,0.14
25.50,42.10,890,0,0.00
25.50,42.20,882,0,0.00
25.50,42.20,864,0,0.18
25.50,42.20,877,0,0.00
25.50,42.20,852,0,0.00
25.50,42.20,891,0,0.21
25.50,42.20,867,0,0.06
25.50,42.20,858,0,0.00
25.50,42.10,891,0,0.00
25.50,42.10,882,0,0.21
25.50,42.00,866,0,0.00
25.50,42.00,870,0,0.00
25.50,42.00,873,0,0.07
25.50,42.00,893,0,0.18
25.50,42.00,868,0,0.11
25.50,42.00,865,0,0.00
25.50,42.00,862,0,0.22
25.50,42.00,871,0,0.00
25.50,42.00,886,0,0.05
25.50,42.00,867,0,0.02
25.50,42.00,880,0,0.08
25.50,42.00,866,0,0.00
25.50,42.00,883,0,0.00
25.50,42.00,871,0,0.22
25.50,42.00,887,0,0.00
25.50,42.00,875,0,0.00
25.50,42.00,858,0,0.00
25.60,41.90,883,0,0.00
25.60,41.90,893,1,0.00
25.60,42.00,871,1,0.03
25.60,42.10,867,1,0.00
25.60,42.30,880,0,0.01
25.60,42.30,863,0,0.00
25.60,42.30,877,0,0.00
25.60,42.30,878,0,0.00
25.60,42.20,865,0,0.00
25.60,42.20,864,0,0.04
25.60,42.20,874,0,0.00
25.60,42.10,865,0,0.00
25.60,42.10,881,0,0.01
25.60,42.00,874,0,0.00
25.60,42.00,890,0,0.15
25.60,42.00,862,0,0.00
25.60,42.00,869,0,0.00
25.70,42.00,871,0,0.00
25.60,42.00,867,0,0.21
25.60,41.90,862,0,0.00
25.60,41.90,857,0,0.19
25.60,41.90,870,0,0.23
25.60,41.90,858,0,0.00
25.60,41.90,865,0,0.00
25.60,41.90,891,0,0.05
25.60,41.90,866,0,0.00
25.60,41.90,880,0,0.09
25.60,41.80,858,0,0.07
25.60,41.80,861,0,0.03
25.60,41.80,891,0,0.29
25.60,41.80,867,0,0.09
25.60,41.80,863,0,0.07
25.60,41.80,889,0,0.11
25.60,41.80,887,0,0.19
25.60,41.80,865,0,0.00
25.60,41.90,894,0,0.03
25.60,42.00,855,0,0.19
25.60,42.00,869,0,0.01
25.60,42.00,880,0,0.00
25.60,41.90,863,0,0.00
25.60,41.90,861,0,0.00
25.70,41.90,868,0,0.00
26.20,58.80,863,1,0.00
26.60,70.10,886,0,0.00
26.70,72.20,871,1,0.17
26.70,73.10,884,0,0.13
26.70,73.20,864,0,0.00
26.70,72.90,867,0,0.00
26.70,72.20,882,0,0.00
26.70,70.90,886,0,0.10
26.70,70.00,859,0,0.00
26.70,69.20,884,0,0.00
26.70,68.30,885,0,0.03
26.70,67.20,886,1,0.00
26.70,66.10,880,0,0.02
26.70,65.00,865,0,0.00
26.70,63.90,865,0,0.00
26.70,62.60,858,0,0.00
26.70,61.30,862,0,0.00
26.60,60.00,860,0,0.02
26.60,59.10,861,0,0.16
26.60,58.20,891,0,0.30
26.60,57.30,879,0,0.29
26.70,56.80,871,0,0.12
26.60,55.80,880,0,0.09
26.60,54.90,871,0,0.23
26.60,54.00,864,0,0.00
26.50,53.20,867,0,0.20
26.50,52.50,869,0,0.02
26.50,51.90,887,0,0.26
26.50,51.30,892,0,0.02
26.50,50.80,871,0,0.01
26.50,50.30,883,0,0.00
26.50,50.10,875,0,0.00
26.40,49.60,863,0,0.09
26.40,49.20,880,0,0.20
26.40,48.90,883,0,0.00
26.40,48.60,870,0,0.00
26.40,48.20,864,0,0.10
26.40,47.90,875,0,0.07
26.40,47.70,867,0,0.00
26.40,47.40,867,0,0.00
26.40,47.10,886,0,0.00
26.40,46.90,864,0,0.00
26.30,46.80,864,0,0.00
26.30,46.60,880,0,0.03
26.30,46.40,865,0,0.07
26.30,46.20,861,0,0.00
26.30,46.10,887,0,0.08
26.30,45.90,874,0,0.00
26.30,45.80,869,0,0.00
26.30,45.70,866,0,0.00
